Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2024;Umbria - Molise;Femmine;118;117;117
2024;Umbria - Molise;Maschi;94;94;94
2024;Vigentina;Femmine;73;73;73
2024;Vigentina;Maschi;63;63;63
2024;Villapizzone;Femmine;216;217;216
2024;Villapizzone;Maschi;180;176;174
2024;Vle Monza;Femmine;142;142;142
2024;Vle Monza;Maschi;142;141;141
2024;Washington;Femmine;151;151;151
2024;Washington;Maschi;115;114;114
2024;XXII Marzo;Femmine;167;166;166
2024;XXII Marzo;Maschi;135;135;135
2024;Quartieri residuali;Femmine;22;22;22
2024;Quartieri residuali;Maschi;10;10;10
2025;Adriano;Femmine;37;37;37
2025;Adriano;Maschi;50;50;50
2025;Affori;Femmine;108;106;106
2025;Affori;Maschi;104;101;100
2025;Baggio;Femmine;182;182;182
2025;Baggio;Maschi;154;154;154
2025;Bande Nere;Femmine;282;282;282
2025;Bande Nere;Maschi;220;219;219
2025;Barona;Femmine;126;126;126
2025;Barona;Maschi;99;99;99
2025;Bicocca;Femmine;15;15;15
2025;Bicocca;Maschi;14;15;15
2025;Bovisa;Femmine;52;52;52
2025;Bovisa;Maschi;51;51;51
2025;Bovisasca;Femmine;45;45;45
2025;Bovisasca;Maschi;39;39;39
2025;Brera;Femmine;83;83;83
2025;Brera;Maschi;78;78;78
2025;Bruzzano;Femmine;35;35;35
2025;Bruzzano;Maschi;50;50;50
2025;Buenos Aires - Venezia;Femmine;335;335;335
2025;Buenos Aires - Venezia;Maschi;302;301;299
2025;Centrale;Femmine;81;81;81
2025;Centrale;Maschi;70;70;70
2025;Città Studi;Femmine;209;209;208
2025;Città Studi;Maschi;167;166;166
2025;Comasina;Femmine;48;48;48
2025;Comasina;Maschi;37;35;35
2025;Corsica;Femmine;113;112;112
2025;Corsica;Maschi;90;90;90
2025;De Angeli - Monte Rosa;Femmine;110;110;110
2025;De Angeli - Monte Rosa;Maschi;88;86;86
2025;Dergano;Femmine;97;96;96
2025;Dergano;Maschi;92;92;92
2025;Duomo;Femmine;73;73;73
2025;Duomo;Maschi;67;67;67
2025;Ex OM - Morivione;Femmine;57;57;57
2025;Ex OM - Morivione;Maschi;26;25;25
2025;Farini;Femmine;7;7;7
2025;Farini;Maschi;5;5;5
2025;Forze Armate;Femmine;149;149;149
2025;Forze Armate;Maschi;130;129;129
2025;Gallaratese;Femmine;254;254;254
2025;Gallaratese;Maschi;218;218;218
2025;Garibaldi Repubblica;Femmine;29;29;29
2025;Garibaldi Repubblica;Maschi;14;14;14
2025;Ghisolfa;Femmine;83;82;82
2025;Ghisolfa;Maschi;73;73;73
2025;Giambellino;Femmine;160;160;160
2025;Giambellino;Maschi;124;123;122
2025;Gratosoglio - Ticinello;Femmine;102;102;102
2025;Gratosoglio - Ticinello;Maschi;108;108;108
2025;Greco;Femmine;70;70;70
2025;Greco;Maschi;68;68;68
2025;Guastalla;Femmine;68;68;68
2025;Guastalla;Maschi;65;65;65
2025;Isola;Femmine;100;98;98
2025;Isola;Maschi;89;88;88
2025;Lambrate;Femmine;50;50;50
2025;Lambrate;Maschi;31;30;30
2025;Lodi - Corvetto;Femmine;203;201;201
2025;Lodi - Corvetto;Maschi;170;170;170
2025;Lorenteggio;Femmine;87;86;86
2025;Lorenteggio;Maschi;75;75;75
2025;Loreto;Femmine;197;197;194
2025;Loreto;Maschi;184;181;180
2025;Maciachini - Maggiolina;Femmine;149;149;149
2025;Maciachini - Maggiolina;Maschi;118;117;117
2025;Magenta - S. Vittore;Femmine;79;79;79
2025;Magenta - S. Vittore;Maschi;72;72;72
2025;Maggiore - Musocco;Femmine;18;18;18
2025;Maggiore - Musocco;Maschi;27;27;27
2025;Mecenate;Femmine;145;145;145
2025;Mecenate;Maschi;118;117;117
2025;Navigli;Femmine;70;70;70
2025;Navigli;Maschi;58;58;58
2025;Niguarda - Cà Granda;Femmine;232;231;231
2025;Niguarda - Cà Granda;Maschi;191;190;190
2025;Ortomercato;Femmine;18;18;18
2025;Ortomercato;Maschi;12;12;12
