"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Giappone";497,00;558,00;691,00;771,00;925,00;967,00;964,00;959,00;1133,00;1283,00;1390,00;1506,00;1255,00;1760,00;1888,00;1974,00;2054,00;2078,00;2223,00;2337,00;2376,00;2383,00;2582,00;2602,00;1507,00;1592,00;1790,00;1857,00;1919,00;1967,00;2088,00;2135,00;2206,00;2344,00;2305,00;1599,00
"Gibuti";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Giordania";32,00;38,00;59,00;84,00;84,00;96,00;111,00;131,00;158,00;166,00;168,00;187,00;91,00;0,00;236,00;245,00;233,00;236,00;249,00;268,00;266,00;267,00;279,00;272,00;151,00;182,00;183,00;177,00;175,00;178,00;180,00;175,00;169,00;183,00;161,00;121,00
"Grecia";466,00;545,00;611,00;650,00;857,00;857,00;859,00;820,00;920,00;947,00;965,00;982,00;306,00;1019,00;1050,00;1065,00;1066,00;1040,00;1060,00;1111,00;1126,00;1149,00;1170,00;1072,00;379,00;390,00;395,00;411,00;413,00;432,00;458,00;485,00;504,00;561,00;514,00;407,00
"Grenada";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Guatemala";5,00;8,00;13,00;10,00;11,00;10,00;11,00;13,00;12,00;16,00;14,00;14,00;10,00;0,00;17,00;20,00;20,00;18,00;19,00;22,00;22,00;21,00;28,00;27,00;21,00;28,00;32,00;33,00;34,00;35,00;36,00;39,00;49,00;57,00;60,00;58,00
"Guinea";8,00;15,00;16,00;18,00;18,00;10,00;10,00;9,00;14,00;17,00;19,00;24,00;14,00;0,00;29,00;32,00;30,00;33,00;42,00;52,00;55,00;59,00;70,00;66,00;54,00;62,00;72,00;78,00;88,00;93,00;90,00;104,00;89,00;110,00;115,00;104,00
"Guinea Bissau";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;2,00;0,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;4,00;4,00;6,00;5,00;5,00;4,00;7,00;6,00;6,00;9,00;13,00;12,00;12,00;14,00;15,00
"Guinea Equatoriale";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Guyana";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Haiti";12,00;14,00;20,00;24,00;36,00;32,00;32,00;30,00;29,00;29,00;29,00;30,00;6,00;0,00;28,00;30,00;29,00;28,00;30,00;32,00;35,00;34,00;35,00;28,00;8,00;10,00;8,00;9,00;9,00;10,00;7,00;7,00;9,00;10,00;9,00;11,00
"Honduras";0,00;1,00;1,00;1,00;2,00;0,00;0,00;0,00;1,00;4,00;5,00;4,00;8,00;0,00;5,00;5,00;4,00;2,00;2,00;5,00;5,00;6,00;6,00;8,00;7,00;14,00;15,00;15,00;16,00;18,00;20,00;38,00;52,00;65,00;74,00;98,00
"India";128,00;139,00;159,00;161,00;173,00;182,00;186,00;175,00;176,00;189,00;199,00;217,00;139,00;0,00;287,00;317,00;331,00;338,00;360,00;428,00;453,00;496,00;568,00;540,00;420,00;502,00;618,00;652,00;668,00;698,00;794,00;879,00;972,00;1118,00;1185,00;1109,00
